DATE,Y,G,T,GSHK_R,T90_MMO,TFPSHK_FRBNY_P,TBILL3
2006-01-01,66.9336619778543,4.90760885626496,11.620564145664,0,0,0.066139514,4.39333333333333
2006-04-01,66.9026214002032,4.85082191023912,11.6299087675488,1.674,0,0.010820549,4.70333333333333
2006-07-01,66.7658707217565,4.79147724736748,11.7124999380094,0,0,0.001681848,4.90666666666667
2006-10-01,67.1113916929047,4.8523301025291,11.7615586811869,0,0,0.039746923,4.90333333333333
2007-01-01,67.0046777465489,4.79591294182583,11.8259907332098,0,0,0.082109087,4.98333333333333
2007-04-01,67.268093797311,4.86921961267431,11.7982242125806,0,0,-0.088334947,4.73666666666667
2007-07-01,67.5260234740007,4.90909521729952,11.6579420234019,0,0,0.034788322,4.30333333333333
2007-10-01,67.6853671488759,4.99207813515878,11.6460357785023,5.086,0,0.064047039,3.39
2008-01-01,67.392587458763,5.09207786925356,11.3939366577682,0,0,-0.064419861,2.04333333333333
2008-04-01,67.7004692004524,5.22177616830951,11.2204885081816,0,0,-0.055763078,1.62666666666667
2008-07-01,67.1289532472381,5.27245460030324,11.044580380895,0,0,-0.077474083,1.49333333333333
2008-10-01,65.5002673886932,5.2899888737271,10.4369444832807,-1.642,0,0.05150572,0.296666666666667
2009-01-01,64.6634401230489,5.31076434829688,9.2691926517777,0,0,0.058557794,0.213333333333333
2009-04-01,64.3799026209609,5.43244039652714,9.040637314204,0,0,-0.018483341,0.173333333333333
2009-07-01,64.4699515203098,5.48058616589475,8.91002402888156,0,0,-0.193168605,0.156666666666667
2009-10-01,64.9554078547025,5.56930376672745,8.96754555720396,0,0,-0.025715966,0.056666666666667
2010-01-01,65.2221090594002,5.64728771666941,9.28507044091633,0,0,-0.082164094,0.106666666666667
2010-04-01,65.7263037778382,5.7261851684528,9.47227121306625,0,0,-0.09570594,0.146666666666667
2010-07-01,66.0275654400319,5.68762572009785,9.53243105430798,0,0,0.113631903,0.156666666666667
2010-10-01,66.210302071715,5.67801075083802,9.57507487421386,-0.649,0,0.032263896,0.136666666666667
2011-01-01,66.028712894668,5.61730519955421,9.7498525469751,0,0,0.035569754,0.126666666666667
2011-04-01,66.3064707045858,5.5947616322616,9.79370972406027,0,0,-0.163701371,0.046666666666667
2011-07-01,66.1862330684361,5.45090962603409,9.78177512312131,-2.51,0,-0.079579176,0.023333333333333
2011-10-01,66.7678237987269,5.44390637728206,9.89318404430742,-0.312,0,-0.019542169,0.013333333333333
2012-01-01,66.7632839344546,5.38508739342369,9.79295655142322,0,0,0.115435854,0.066666666666667
2012-04-01,66.9120046284144,5.32006399443298,9.9027669540951,0,0,-0.102030826,0.086666666666667
